Link,Price,Beds,Bathrooms,Carports,Size,Type
https://www.domain.com.au/249a-coode-street-como-wa-6152-2016812938?topspot=1,1005000.0,3,2,2,270,House
https://www.domain.com.au/47b-pitt-street-st-james-wa-6102-2017185475,1005000.0,6,3,2,416,House
https://www.domain.com.au/445-strettle-road-glen-forrest-wa-6071-2017179208,1005000.0,4,2,4,6243,New House &amp; Land
https://www.domain.com.au/2-79-williams-road-nedlands-wa-6009-2017177592,1005000.0,3,2,2,241,House
https://www.domain.com.au/12-sheahan-way-marmion-wa-6020-2017174135,1005000.0,4,2,2,721,House
https://www.domain.com.au/68-grantham-street-wembley-wa-6014-2017142146,1005000.0,7,3,2,573,House
https://www.domain.com.au/307-crawford-road-inglewood-wa-6052-2017137351,1005000.0,3,2,2,534,House
https://www.domain.com.au/326a-railway-parade-west-leederville-wa-6007-2017136504,1005000.0,4,2,2,424,House
https://www.domain.com.au/4-bream-cove-mount-lawley-wa-6050-2017154745,1005000.0,4,2,2,368,House
https://www.domain.com.au/83b-okely-road-carine-wa-6020-2017152068,1005000.0,4,2,2,522,House
https://www.domain.com.au/27a-hood-terrace-sorrento-wa-6020-2017146980,1005000.0,4,2,4,445,House
https://www.domain.com.au/6-harvest-terrace-scarborough-wa-6019-2017146520,1005000.0,3,1,1,655,House
https://www.domain.com.au/183-railway-road-subiaco-wa-6008-2017094404,1005000.0,4,3,2,364,House
https://www.domain.com.au/123-rochdale-road-mount-claremont-wa-6010-2017093503,1005000.0,4,2,2,626,House
https://www.domain.com.au/dianella-wa-6059-2017188909,1005000.0,5,2,2,-1,New House &amp; Land
https://www.domain.com.au/lathlain-wa-6100-2017187518,1005000.0,4,2,2,-1,New House &amp; Land
https://www.domain.com.au/churchlands-wa-6018-2017185998,1005000.0,4,2,2,-1,New House &amp; Land
https://www.domain.com.au/waterford-wa-6152-2017156391,1005000.0,4,2,2,-1,New House &amp; Land
https://www.domain.com.au/10-swansea-promenade-mindarie-wa-6030-2017147133,1005000.0,5,3,2,334,House
https://www.domain.com.au/mount-pleasant-wa-6153-2017068749,1005000.0,4,2,2,-1,New House &amp; Land
https://www.domain.com.au/mount-claremont-wa-6010-2017026436,1005000.0,4,2,2,-1,New House &amp; Land
https://www.domain.com.au/12a-brix-street-wembley-downs-wa-6019-2017185000,1005000.0,4,2,2,551,House
https://www.domain.com.au/35-southpointe-crescent-ballajura-wa-6066-2017182362,1005000.0,5,2,2,1008,House
https://www.domain.com.au/north-lake-wa-6163-2017180545,1005000.0,4,2,3,717,House
https://www.domain.com.au/14-ebsworth-street-mount-lawley-wa-6050-2017164209,1005000.0,3,2,2,491,House
https://www.domain.com.au/78-spencer-avenue-yokine-wa-6060-2017162584,1005000.0,3,1,1,916,House
https://www.domain.com.au/42-newborough-street-karrinyup-wa-6018-2017152027,1005000.0,3,1,2,728,House
https://www.domain.com.au/mount-pleasant-wa-6153-2017150872,1005000.0,3,2,1,685,House
https://www.domain.com.au/1-8-matheson-road-applecross-wa-6153-2017150090,1005000.0,3,2,2,431,House
https://www.domain.com.au/119b-moulden-avenue-yokine-wa-6060-2017148544,1005000.0,4,3,2,414,House
https://www.domain.com.au/11-wann-court-upper-swan-wa-6069-2017124481,1005000.0,5,4,4,4046,House
https://www.domain.com.au/220a-arcadia-drive-safety-bay-wa-6169-2017065120,1005000.0,3,3,3,506,House
https://www.domain.com.au/33-pollard-street-glendalough-wa-6016-2017052535,1005000.0,2,1,2,895,House
https://www.domain.com.au/61-shannon-road-dianella-wa-6059-2017043779,1005000.0,4,3,8,810,House
https://www.domain.com.au/61-pine-valley-pass-connolly-wa-6027-2017037127,1005000.0,4,2,2,701,House
