[-32.0481026, 116.00750806410974]
[-31.55264455, 115.64282481579346]
[-31.791755000000002, 115.79946773929777]
[-32.0613041, 115.8791906142475]
[-31.83879985, 115.81597149471983]
[-32.3454435, 115.75910134449911]
[-31.7574555, 115.81542917830579]
[-32.06612035, 115.96054507104706]
[-31.8877781, 116.04421069446397]
[-32.0854726, 115.98000869239492]
[-31.959339649999997, 115.80292249618961]
[-32.01236515, 115.94224149334605]
[-32.30351795, 115.74025880355309]
[-32.0460645, 115.87038682580008]
[-32.103784, 116.084561]
[-32.28483835, 115.73540632599689]
[-32.36021545, 115.82051592252137]
[-31.944268549999997, 115.83822723260467]
[-31.7586759, 115.73908374929383]
[-31.92143815, 115.86994933245143]
[-31.873747, 115.88372110662176]
[-31.677137350000002, 115.70606866337974]
[-32.04623905, 115.80547982008022]
[-32.04104605, 115.91711535180022]
[-32.0124634, 116.05152590979117]
[-32.074902699999996, 115.85645505676172]
[-32.109389, 115.845938]
[-31.7183408, 115.73172131051128]
[-31.87742875, 115.93558721146096]
[-31.98570015, 115.89285230327098]
[-32.12168585, 116.01142471414872]
[-31.97788295, 116.05752031205918]
[-31.90398345, 115.90082708533274]
[-32.0487347, 115.75682700898703]
[-32.128005599999995, 115.93411595428331]
[-31.890650549999997, 115.92694926728797]
[-32.1739394, 115.8497709]
[-31.826829150000002, 115.79144381956635]
[-31.888931200000002, 115.98861881124631]
[-31.83649085, 115.8420089584946]
[-32.2380709, 115.8152355638498]
[-32.06967485, 115.76782268719302]
[-31.785588150000002, 115.96430769722164]
[-31.874686, 116.220421]
[-31.82239935, 115.7677101533829]
[-31.8787163, 115.85489609523438]
[-31.9764102, 116.01079207733665]
[-32.0032643, 115.87128632997926]
[-32.415740549999995, 115.76298272441119]
[-31.67732015, 115.72640466907538]
[-31.9167871, 115.78955267255745]
[-32.14163715, 115.9924095087917]
[-31.85234295, 115.7759339247718]
[-32.013905550000004, 115.93699553498674]
[-32.0829018, 115.92312885438633]
[-32.22357675, 116.00190406099406]
[-31.652091, 115.708595]
[-31.6696327, 115.9979333]
[-31.9445234, 115.83228892527958]
[-31.77080415, 115.76305246057026]
[-31.9584329, 115.93384252749294]
[-31.8448263, 115.89353209025228]
[-31.852762, 115.84644694727552]
[-32.333662950000004, 115.82859821573416]
[-31.8748729, 115.81297059805215]
[-31.7681502, 115.987658128647]
[-32.14369705, 115.86415179318391]
[-31.811576, 115.8415063814722]
[-32.1615945, 116.01432078562098]
[-32.02906345, 115.8347602574295]
